"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS LINHARES","3521","LINHARES","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS MONTANHA","22587","MONTANHA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS NOVA VENÉCIA","3520","NOVA VENÉCIA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS PIÚMA","13839","PIÚMA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS CENTRO SERRANO","20571","SANTA MARIA DE JETIBÁ","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS SANTA TERESA","2898","SANTA TERESA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS SÃO MATEUS","2899","SÃO MATEUS","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS SERRA","2900","SERRA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS VENDA NOVA DO IMIGRANTE","13597","VENDA NOVA DO IMIGRANTE","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS AVANÇADO VIANA","32320","VIANA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS VILA VELHA","20113","VILA VELHA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS VITÓRIA","2884","VITÓRIA","ES"
"INSTITUTO FEDERAL DO ESPIRITO SANTO","CENTRO DE REFERÊNCIA EM FORMAÇÃO E EM EDUCAÇÃO A DISTÂNCIA","42638","VITÓRIA","ES"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS ÁGUAS LINDAS DE GOIÁS","31967","ÁGUAS LINDAS DE GOIÁS","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS ÁGUAS LINDAS DE GOIÁS","20427","ÁGUAS LINDAS DE GOIÁS","GO"
"INSTITUTO FEDERAL DE GOIÁS","CAMPUS ANÁPOLIS","13791","ANÁPOLIS","GO"
