"INICIO","CICLO","CURSO_SISTEC","CURSO_QACADEMICO","CAMPUS"
"2019.2",2670414,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA","CABO DE SANTO AGOSTINHO"
"2019.1",2572584,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2019.2",2631718,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2020.1",2682335,"TÉCNICO EM LOGÍSTICA","CURSO TÉCNICO EM LOGÍSTICA - SUB IGARASSU","IGARASSU"
"2019.1",2580221,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PL","PAULISTA"
"2019.2",2628998,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - PL","PAULISTA"
"2019.1",2574190,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2019.2",2629460,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2020.1",2677475,"TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA","CURSO TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA - SUB PM","PALMARES"
"2019.1",2592020,"TÉCNICO EM MECATRÔNICA","CURSO TÉCNICO EM MECATRÔNICA - INTEGRADO CR - INT","CARUARU"
"2019.2",2642004,"TÉCNICO EM MECATRÔNICA","CURSO TÉCNICO EM MECATRÔNICA - SUB CR","CARUARU"
"2019.1",2585550,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE - INT  GR 2013_1","GARANHUNS"
"2020.1",2675768,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE - INT  GR 2013_1","GARANHUNS"
"2019.1",2596198,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE SUB","CABO DE SANTO AGOSTINHO"
"2019.2",2649909,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE SUB","CABO DE SANTO AGOSTINHO"
"2019.1",2585560,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE SUB 2014_1  GR","GARANHUNS"
"2019.2",2627742,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE SUB 2014_1  GR","GARANHUNS"
"2020.1",2675772,"TÉCNICO EM MEIO AMBIENTE","CURSO TÉCNICO EM MEIO AMBIENTE SUB 2014_1  GR","GARANHUNS"
"2019.1",2591801,"TÉCNICO EM PETROQUÍMICA","CURSO TÉCNICO EM PETROQUÍMICA","IPOJUCA"
"2019.2",2661285,"TÉCNICO EM PETROQUÍMICA","CURSO TÉCNICO EM PETROQUÍMICA","IPOJUCA"
"2019.1",2604052,"TÉCNICO EM QUALIDADE","CURSO TÉCNICO EM QUALIDADE SUB JG","JABOATÃO DOS GUARARAPES"
"2019.2",2649694,"TÉCNICO EM QUALIDADE","CURSO TÉCNICO EM QUALIDADE SUB JG","JABOATÃO DOS GUARARAPES"
"2019.1",2578410,"TÉCNICO EM SANEAMENTO","CURSO TÉCNICO EM SANEAMENTO SUB 2014_1","RECIFE"
"2019.2",2671186,"TÉCNICO EM SANEAMENTO","CURSO TÉCNICO EM SANEAMENTO SUB 2014_1","RECIFE"
"2019.1",2591887,"TÉCNICO EM SEGURANÇA DO TRABALHO","CURSO TÉCNICO EM SEGURANÇA DO TRABALHO INT - CR","CARUARU"
"2019.1",2580858,"TÉCNICO EM TELECOMUNICAÇÕES","CURSO TÉCNICO EM TELECOMUNICAÇÃO SUB 2013_2","RECIFE"
"2019.2",2649730,"TÉCNICO EM TELECOMUNICAÇÕES","CURSO TÉCNICO EM TELECOMUNICAÇÃO SUB 2013_2","RECIFE"
"2019.1",2582966,"TÉCNICO EM ZOOTECNIA","CURSO TÉCNICO EM ZOOTECNIA - SUB VT 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.2",2629629,"TÉCNICO EM ZOOTECNIA","CURSO TÉCNICO EM ZOOTECNIA - SUB VT 2012_1","VITÓRIA DE SANTO ANTÃO"
"2019.1",2571149,"TÉCNICO EM INFORMÁTICA","CURSO TÉCNICO INTEGRADO DE INFORMÁTICA  AF 2013","AFOGADOS DA INGAZEIRA"
"2020.1",2679918,"TÉCNICO EM INFORMÁTICA","CURSO TÉCNICO INTEGRADO DE INFORMÁTICA  AF 2013","AFOGADOS DA INGAZEIRA"
"2019.1",2608762,"TÉCNICO EM MECÂNICA","CURSO TÉCNICO INTEGRADO DE MECÂNICA 2014_1","RECIFE"
"2019.1",2580839,"TÉCNICO EM ELETRÔNICA","CURSO TÉCNICO INTEGRADO EM ELETRÔNICA RC_","RECIFE"
